Rank,Zip Code,Population
750,78629,"12,011"
751,76054,"11,989"
752,78204,"11,832"
753,76354,"11,825"
754,77461,"11,824"
755,77030,"11,787"
756,79331,"11,726"
757,76657,"11,723"
758,75835,"11,597"
759,77836,"11,584"
760,78256,"11,554"
761,76302,"11,423"
762,76426,"11,350"
763,75462,"11,232"
764,75570,"11,162"
765,76085,"11,143"
766,77094,"11,139"
767,79022,"11,076"
768,77995,"11,065"
769,75551,"11,040"
770,77068,"11,031"
771,75428,"11,000"
772,79124,"10,847"
773,78065,"10,824"
774,75785,"10,813"
775,77954,"10,801"
776,78362,"10,789"
777,75494,"10,785"
778,78061,"10,781"
779,76645,"10,762"
780,79103,"10,758"
781,79766,"10,755"
782,78669,"10,730"
783,78721,"10,728"
784,76102,"10,650"
785 TIE,78945,"10,570"
785 TIE,79410,"10,570"
787,77518,"10,567"
788,78538,"10,557"
789,78578,"10,551"
790,79108,"10,549"
791,75442,"10,453"
792,75708,"10,419"
793,78202,"10,390"
794,76667,"10,385"
795,76084,"10,375"
796,78073,"10,297"
797,78408,"10,294"
798,77562,"10,292"
799,76537,"10,273"
800,75862,"10,245"
801,76711,"10,237"
802,77563,"10,223"
803,77418,"10,220"
804,79316,"10,180"
805,78016,"10,156"
806,75706,"10,142"
807,75645,"10,125"
808,78231,"10,109"
809,78112,"10,087"
810,77003,"9,992"
811,76273,"9,922"
812,76230,"9,921"
813,79102,"9,898"
814,77611,"9,829"
815,79070,"9,812"
816,78387,"9,791"
817,75758,"9,726"
818,77547,"9,702"
819,78957,"9,685"
820,78942,"9,627"
821,75704,"9,575"
822,78701,"9,560"
823,76692,"9,508"
824,78733,"9,500"
825,77612,"9,490"
826,78736,"9,481"
827,79756,"9,477"
828,78730,"9,455"
829,76571,"9,384"
830,79382,"9,355"
831,75021,"9,327"
832,78003,"9,325"
833,78756,"9,314"
834,79404,"9,312"
835,78063,"9,282"
836,75210,"9,270"
837,75650,"9,239"
838,76249,"9,235"
839,75495,"9,208"
840,78257,"9,201"
841 TIE,78725,"9,082"
841 TIE,78101,"9,082"
843,79401,"9,045"
844,77554,"9,001"
845,75789,"8,919"
846,76446,"8,876"
847,76567,"8,790"
848,78002,"8,776"
849,76078,"8,753"
850,77957,"8,710"
851,76539,"8,665"
852,76655,"8,616"
853,75076,"8,592"
854,78368,"8,586"
855,76424,"8,552"
856,78616,"8,551"
857,78236,"8,521"
858,79901,"8,518"
859,75941,"8,470"
860,75949,"8,469"
861,78543,"8,421"
862,75783,"8,316"
863,75173,"8,298"
864,75956,"8,275"
865,77480,"8,243"
866,76060,"8,183"
867,75207,"8,163"
868,75135,"8,075"
869,79836,"8,042"
870,75161,"8,040"
871,76311,"8,037"
872,78639,"7,999"
873,77843,"7,965"
874,75754,"7,961"
875,79830,"7,948"
876,78009,"7,901"
877,77964,"7,850"
878,78648,"7,803"
879,78839,"7,796"
880,76704,"7,791"
881,77625,"7,773"
882,79512,"7,758"
883,75765,"7,705"
884,76442,"7,697"
885,76520,"7,692"
886,79510,"7,673"
887,79911,"7,668"
888,75182,"7,647"
889,79364,"7,638"
890,75684,"7,558"
891,75752,"7,450"
892,76661,"7,388"
893,77859,"7,368"
894,75657,"7,366"
895,75140,"7,365"
896,79406,"7,341"
897,78834,"7,316"
898,77371,"7,291"
899,78124,"7,286"
900,78595,"7,272"
901 TIE,77465,"7,227"
901 TIE,77486,"7,227"
903,79922,"7,210"
904,76634,"7,207"
905,76023,"7,203"
906,75125,"7,198"
907,77864,"7,158"
908,77331,"7,114"
909,78226,"7,109"
910,78355,"7,102"
911,76043,"7,094"
912 TIE,76579,"7,068"
912 TIE,78119,"7,068"
914,76258,"7,056"
915,79323,"7,003"
916,78266,"6,962"
917,78605,"6,955"
918,79347,"6,933"
919,75147,"6,922"
920,78606,"6,890"
921,79201,"6,817"
922,78657,"6,810"
923,76050,"6,760"
924,75603,"6,733"
925,79104,"6,705"
926,79339,"6,694"
927,75440,"6,665"
928,79821,"6,645"
929,78026,"6,634"
930,78934,"6,626"
931,79411,"6,623"
932,78643,"6,584"
933,79745,"6,559"
934,77565,"6,555"
935,78069,"6,542"
936,76825,"6,539"
937,75763,"6,507"
938,75840,"6,504"
939,77665,"6,499"
940,76044,"6,466"
941,76073,"6,443"
942,75114,"6,438"
943,76155,"6,427"
944,77362,"6,361"
945,76691,"6,357"
946,75693,"6,353"
947,76633,"6,286"
948,78619,"6,274"
949,76559,"6,260"
950,75860,"6,248"
951,75148,"6,237"
952,77659,"6,230"
953,75457,"6,228"
954,75972,"6,190"
955,77517,"6,118"
956,76557,"6,063"
957,78203,"6,034"
958,75839,"6,001"
959,78052,"6,000"
960,78583,"5,952"
961,78722,"5,938"
962,76458,"5,930"
963,76642,"5,917"
964,79906,"5,839"
965,79363,"5,827"
966,77514,"5,818"
967,77360,"5,805"
968,75640,"5,791"
969,77050,"5,745"
970,78390,"5,737"
971,76802,"5,727"
972,75459,"5,709"
973,79536,"5,703"
974,78059,"5,699"
975,79838,"5,687"
976,75152,"5,686"
977,79356,"5,602"
978,75948,"5,595"
979,76437,"5,593"
980,75166,"5,589"
981,76255,"5,514"
982,75158,"5,496"
983,76259,"5,469"
984,75939,"5,440"
985,78956,"5,436"
986,79035,"5,434"
987,75559,"5,392"
988,79121,"5,388"
989,78017,"5,340"
990,78013,"5,333"
991,77358,"5,324"
992,78384,"5,264"
993,78372,"5,261"
994,75172,"5,248"
995,78160,"5,246"
996,78014,"5,230"
997,78025,"5,217"
998,79088,"5,213"
999,75124,"5,205"
"1,000",77963,"5,188"
"1,001",77879,"5,162"
"1,002",75226,"5,133"
"1,003",77446,"5,121"
"1,004",78575,"5,077"
"1,005",78383,"5,057"
"1,006",79036,"5,035"
"1,007",76066,"5,030"
"1,008",78652,"5,014"
"1,009",75638,"5,001"
"1,010",76834,"4,995"
"1,011",76448,"4,991"
"1,012",76059,"4,982"
"1,013",75831,"4,981"
"1,014",75851,"4,956"
"1,015 TIE",76462,"4,914"
"1,015 TIE",75491,"4,914"
"1,017",78361,"4,864"
"1,018 TIE",78593,"4,857"
"1,018 TIE",78370,"4,857"
"1,020",78263,"4,806"
"1,021",78962,"4,801"
"1,022",76272,"4,799"
"1,023",79782,"4,782"
"1,024",75656,"4,768"
"1,025 TIE",79908,"4,753"
"1,025 TIE",75117,"4,753"
"1,027",75692,"4,698"
"1,028",75452,"4,688"
"1,029",79027,"4,667"
"1,030",78401,"4,660"
"1,031",78234,"4,655"
"1,032",76305,"4,639"
"1,033",78022,"4,636"
"1,034",75561,"4,626"
"1,035",75844,"4,622"
"1,036",75709,"4,596"
"1,037",78343,"4,594"
"1,038",78947,"4,589"
"1,039",75755,"4,576"
"1,040 TIE",79916,"4,526"
"1,040 TIE",77856,"4,526"
"1,042",76531,"4,516"
"1,043",76365,"4,491"
"1,044",79731,"4,473"
"1,045",75410,"4,470"
"1,046",75691,"4,465"
"1,047",75966,"4,462"
"1,048",77204,"4,459"
"1,049",76821,"4,430"
"1,050",78560,"4,417"
"1,051",75472,"4,405"
"1,052",75756,"4,403"
"1,053",78417,"4,400"
"1,054",76431,"4,376"
"1,055",78569,"4,370"
"1,056",76877,"4,303"
"1,057",75109,"4,288"
"1,058",78118,"4,280"
"1,059",76527,"4,262"
"1,060",76071,"4,242"
"1,061",76457,"4,194"
"1,062",78208,"4,175"
"1,063",79562,"4,150"
"1,064",77984,"4,134"
"1,065",77434,"4,128"
"1,066",75567,"4,087"
"1,067",75144,"4,030"
"1,068",76664,"4,015"
"1,069",75683,"3,998"
"1,070",76651,"3,984"
"1,071",76005,"3,967"
"1,072",78010,"3,948"
"1,073",77485,"3,933"
"1,074",79607,"3,888"
"1,075",76689,"3,878"
"1,076 TIE",75141,"3,868"
"1,076 TIE",75975,"3,868"
"1,078",79845,"3,824"
"1,079",75563,"3,816"
"1,080",76524,"3,813"
"1,081 TIE",75251,"3,804"
"1,081 TIE",75884,"3,804"
"1,083",75426,"3,774"
"1,084",75473,"3,773"
"1,085",79311,"3,767"
"1,086",78071,"3,730"
"1,087",77435,"3,727"
"1,088",75969,"3,719"
"1,089",75946,"3,714"
"1,090",78655,"3,696"
"1,091",75424,"3,679"
"1,092",75750,"3,644"
"1,093",76849,"3,641"
"1,094",75497,"3,623"
"1,095",78140,"3,601"
"1,096",76374,"3,595"
"1,097",78164,"3,592"
"1,098",77835,"3,589"
"1,099",75496,"3,578"
"1,100",76856,"3,570"
"1,101",75446,"3,536"
"1,102",76233,"3,535"
"1,103",76380,"3,517"
"1,104",79359,"3,500"
"1,105",75569,"3,478"
"1,106",76444,"3,477"
"1,107",75572,"3,474"
"1,108",76950,"3,473"
"1,109",75925,"3,446"
"1,110",76470,"3,432"
"1,111",79521,"3,412"
"1,112",76476,"3,406"
"1,113",75790,"3,383"
"1,114",75058,"3,369"
"1,115",77702,"3,368"
"1,116",76932,"3,349"
"1,117",78636,"3,338"
"1,118",75852,"3,306"
"1,119",76597,"3,304"
"1,120",75974,"3,296"
"1,121",79014,"3,285"
"1,122",79081,"3,276"
"1,123",78377,"3,272"
"1,124",78373,"3,271"
"1,125",77962,"3,262"
"1,126",79235,"3,257"
"1,127",79553,"3,256"
"1,128",76055,"3,255"
"1,129",79068,"3,253"
"1,130",76844,"3,243"
"1,131",76093,"3,239"
"1,132",78832,"3,199"
"1,133 TIE",75886,"3,193"
"1,133 TIE",76225,"3,193"
"1,135",76682,"3,182"
"1,136",78579,"3,176"
"1,137",76569,"3,174"
"1,138",75155,"3,167"
"1,139",78215,"3,151"
"1,140",75962,"3,149"
"1,141",79504,"3,147"
"1,142",75433,"3,145"
"1,143",76640,"3,140"
"1,144",77831,"3,137"
"1,145",75792,"3,134"
"1,146",77534,"3,125"
"1,147",77830,"3,122"
"1,148",76577,"3,120"
"1,149",79567,"3,112"
"1,150",76638,"3,095"
"1,151",79329,"3,086"
"1,152",78941,"3,076"
"1,153",77968,"3,057"
"1,154 TIE",75423,"3,055"
"1,154 TIE",75432,"3,055"
"1,156",79013,"3,043"
"1,157",77363,"3,042"
"1,158",79086,"3,023"
"1,159",78631,"3,020"
"1,160",78375,"3,015"
"1,161",75414,"2,989"
"1,162",76798,"2,966"
"1,163",76534,"2,953"
"1,164",78562,"2,950"
"1,165",77417,"2,892"
"1,166",75490,"2,891"
"1,167",75416,"2,890"
"1,168",75568,"2,873"
"1,169",76943,"2,867"
"1,170 TIE",75855,"2,862"
"1,170 TIE",75422,"2,862"
"1,172",79853,"2,858"
"1,173",78659,"2,855"
"1,174",76035,"2,844"
"1,175",76665,"2,838"
"1,176",76487,"2,833"
"1,177",79041,"2,821"
"1,178",78357,"2,819"
"1,179",79373,"2,816"
"1,180",75973,"2,809"
"1,181",76360,"2,805"
"1,182",77335,"2,799"
"1,183",75846,"2,786"
"1,184",79252,"2,768"
"1,185",78113,"2,759"
"1,186 TIE",75453,"2,757"
"1,186 TIE",77871,"2,757"
"1,188",78039,"2,730"
"1,189",75705,"2,722"
"1,190",79095,"2,710"
"1,191",76823,"2,698"
"1,192",75631,"2,696"
"1,193",79501,"2,686"
"1,194",79226,"2,677"
"1,195",76656,"2,671"
"1,196",76570,"2,661"
"1,197",78656,"2,624"
"1,198",75681,"2,563"
