Rank,Zip Code,Population
"1,000",93646,"10,425"
"1,001",95386,"10,371"
"1,002",95119,"10,354"
"1,003",95326,"10,254"
"1,004",93465,"10,192"
"1,005",96097,"10,169"
"1,006",94925,"10,145"
"1,007",93701,"10,123"
"1,008",92320,"10,053"
"1,009",93219,"10,047"
"1,010",95322,"10,012"
"1,011",92055,"9,891"
"1,012",95713,"9,869"
"1,013",95694,"9,858"
"1,014",95033,"9,767"
"1,015",92359,"9,587"
"1,016",94572,"9,546"
"1,017",93622,"9,483"
"1,018",91935,"9,450"
"1,019",92657,"9,342"
"1,020",90211,"9,202"
"1,021",95327,"9,165"
"1,022",92310,"9,100"
"1,023 TIE",93926,"9,086"
"1,023 TIE",95946,"9,086"
"1,025",92067,"9,060"
"1,026",95969,"9,032"
"1,027",94931,"8,966"
"1,028",95006,"8,873"
"1,029",93620,"8,865"
"1,030",95010,"8,808"
"1,031",92252,"8,797"
"1,032",94930,"8,796"
"1,033",93546,"8,779"
"1,034",95324,"8,639"
"1,035",93463,"8,598"
"1,036",90014,"8,547"
"1,037",95988,"8,483"
"1,038",92655,"8,440"
"1,039",92325,"8,347"
"1,040",92249,"8,346"
"1,041",95065,"8,301"
"1,042",93625,"8,273"
"1,043",95220,"8,251"
"1,044",93721,"8,168"
"1,045",93434,"8,138"
"1,046",93449,"8,058"
"1,047",94710,"8,056"
"1,048",92276,"8,052"
"1,049",95005,"8,020"
"1,050",95932,"7,963"
"1,051",90056,"7,956"
"1,052",93644,"7,889"
"1,053",91020,"7,869"
"1,054",94574,"7,859"
"1,055",95316,"7,832"
"1,056",92250,"7,798"
"1,057",95726,"7,754"
"1,058",90077,"7,729"
"1,059",92548,"7,665"
"1,060",96067,"7,518"
"1,061",90401,"7,482"
"1,062",92254,"7,478"
"1,063",92233,"7,454"
"1,064",95811,"7,432"
"1,065",92241,"7,319"
"1,066",94939,"7,274"
"1,067",94515,"7,269"
"1,068",95693,"7,247"
"1,069",94027,"7,213"
"1,070",95139,"7,144"
"1,071",93445,"7,061"
"1,072",93737,"7,051"
